Question,A,B,C,D,Answer
133. Phát biểu nào sau đây là sai ?,Anilin được điều chế trực tiếp từ nitrobenzen.,Anilin là một base có khả năng làm quỳ tím hoá xanh.,Anilin cho được kết tủa trắng với nước brom.,Anilin có tính base yếu hơn amoniac.,B
"134. Acid Picric (2,4,6-trinitrophenol) có dạng tinh thể màu vàng và là một trong những hợp chất có tính acid mạnh nhất của phenol. Như các hợp chất chứa nhiều nitrat khác (TNT), acid picric là một chất nổ. CTPT của acid picric là ?",C6H3N3O7.,C6H5OH.,C9H8O4.,C8H9NO2.,A
"135. Acid benzoic được sử dụng như một chất bảo quản thực phẩm (Thường được kí hiệu là E-210) cho xúc xích, nước sốt cà chua, mù tạt, bơ thực vật … Nó ức chế sự phát triển của nấm mốc, nấm men và một số vi khuẩn. CTPT của acid benzoic là ?",CH3COOH.,HCOOH.,C6H5COOH.,(COOH)2.,C
"136. Khi bị ong đốt, để giảm đau, giảm sưng, kinh nghiệm dân gian thường dùng chất nào sau đây để bôi trực tiếp lên vết thương ?",Nước vôi.,Nước muối.,Giấm.,Cồn.,A
137. Chất nào sau đây thuộc loại amin bậc hai ?,Phenylamin.,Metylamin.,Đimetylamin.,Trimetylamin.,C
138. Thực hiện các phản ứng hóa học sau: (1) Anilin phản ứng với dung dịch Br2; (2) Metylamin phản ứng với dung dịch HCl; (3) Phenol phản ứng với dung dịch NaOH; (4) Phenol phản ứng với dung dịch Br2. Số phản ứng hóa học tạo được kết tủa trắng là ?,4.,2.,1.,3.,B
"139. Đốt cháy 1,0 mol butan thu được a mol CO2 và b mol H2O. Tổng (a+b) là ?",9 mol.,4 mol.,13 mol.,5 mol. 4,A
"140. Có bao nhiêu hợp chất hữu cơ có cùng CTPT C7H8O có chứa vòng benzen; tác dụng được với Na, sinh ra khí H2 ?",3.,1.,2.,4.,D
141. Số chất có cùng CTPT C5H8 tác dụng được với dung dịch AgNO3 trong NH3; sinh ra kết tủa vàng là ?,5.,3.,4.,3.,"Cần kiểm tra (đáp án đúng tính ra là 2, không có lựa chọn)"
142. Axetilen cháy trong không khí với ngọn lửa sáng; tỏa nhiều nhiệt. Đốt cháy hoàn toàn axetilen cần a mol khí O2; thu được 4 mol khí CO2. Giá trị của a là ?,5.,10.,"2,5.",4.,A
143. Hợp chất X có CTCT: CH3CH(C2H5)CH(OH)CH3. Tên gọi của X là ?,4-etylpentan-2-ol.,2-etylbutan-3-ol.,3-etylhexan-5-ol.,3-metylpentan-2-ol.,D
144. Hiđrat hóa 2-metylbut-2-en thu được sản phẩm chính là ?,2-metylbutan-2-ol.,3-metylbutan-1-ol.,3-metylbutan-2-ol.,2-metylbutan-1-ol.,A
145. Hãy chọn các câu phát biểu đúng về phenol ? (1) Phenol là hợp chất có vòng benzen và có nhóm –OH. (2) Phenol là hợp chất chứa một hoặc nhiều nhóm hidroxyl (-OH) liên kết trực tiếp với vòng benzen. (3) Phenol có tính axit nhưng nó là acid yếu hơn axit cacbonic. (4) Phenol tan vô hạn trong nước lạnh. (5) Phenol tan trong dung dịch NaOH tạo thành natri phenolat.,(1); (2); (3); (5).,(1); (2); (5).,(2); (3); (5).,(2); (3); (4).,C
146. Phân biệt các chất riêng biệt sau: phenol; axit axetic và axit acrylic bằng dung dịch nào sau đây ?,Na2CO3.,AgNO3/NH3.,Br2.,NaOH.,C
147. Dung dịch axit axetic phản ứng được với tất cả các chất trong dãy sau đây ?,Na; CuO; HCl.,NaOH; Cu; NaCl.,Na; CuO; NaCl.,NaOH; CaCO3; Na.,D
148. Đồng phân cis-pent-2-en và trans-pent-2-en là 2 đồng phân ?,Đồng phân mạch carbon.,Đồng phân hình học.,Đồng phân vị trí nhóm chức.,Đồng phân nhóm chức.,B
149. Etilen glicol làm chất chống đông cho nước dùng trong két nước làm mát động cơ ô tô và để sản xuất tơ polieste. CTCT của etilen glicol là ? 5,C2H4(OH)2.,C2H4.,C3H5(OH)3.,C2H5OH.,A
150. Khí nào sau đây kích thích trái cây mau chín ?,Etan.,Etilen.,Metan.,Axetilen.,B
151. Acid citric hay acid xitric [HOOC-CH2-C(COOH)(OH)-CH2-COOH]. Độ không no của acid này là:,3.,0.,2.,1.,A
152. Cho các chất sau: (1) acid propanoic; (2) acid axetic; (3) etanol; (4) đimetyl ete. Nhiệt độ theo chiều giảm dần ?,(2) > (1) > (3) > (4).,(2) > (3) > (1) > (4).,(1) > (2) > (3) > (4).,(4) > (3) > (2) > (1).,C
"153. X là hợp chất thơm; a mol X phản ứng vừa hết với a lít dung dịch NaOH 1M. Mặt khác, nếu cho a mol X phản ứng với Na (dư) thì sau phản ứng thu được 22,4a lít khí H2 (ở đktc). Công thức cấu tạo thu gọn của X là ?",HOC6H4COOCH3.,CH3C6H3(OH)2.,HOC6H4COOH.,HOCH2C6H4OH.,D
154. Hợp chất sau đây: CH3CH(CH3)CH=C(CH3)CH2CH3 có tên gọi là ?,"2,4-đimetylhex-3-en.",2-metylhex-3-en.,3-metylhex-3-en.,"3,5-đimetylhex-3-en.",A
"155. Vitamin A là một nhóm các chất hòa tan trong chất béo quan trọng với cơ thể, đặc biệt là thị lực, tăng trưởng, quá trình phân chia tế bào, sinh sản và hệ thống miễn dịch. Vitamin A có đặc tính chống oxy hóa giúp bảo vệ các tế bào chống lại tác động của các gốc tự do,…CTCT của vitamin A như sau: a. Tìm độ không no của vitamin A? b. Tìm số mắc xích isoprene của vitamin",,,,,a=6; b=4
