Question,A,B,C,D,Answer
Tại cơ sở sản xuất thuốc: Bất kỳ hồ sơ tài liệu kiểm tra chất lượng liên quan đến hồ sơ lô sản xuất phải lưu giữ…,01 năm,02 năm,03 năm,04 năm,
Biên bản lấy mẫu làm thành ít nhất mấy bản lưu,01 bản,02 bản,03 bản,04 bản,C
Biên bản lấy mẫu gồm:,Tại cơ sở được lấy mẫu.,Ở cơ quan KN.,"Tại cơ quan quản lý, kiểm tra chất lượng thuốc.",Tất cả đều đúng.,
Mẫu ban đầu là:,Một lượng thuốc được lấy ra từ một đơn vị lấy mẫu.,Một lượng thuốc được tạo thành bằng cách trộn các mẫu ban đầu với nhau.,Một phần của mẫu chung đủ để tạo mẫu phân tích và mẫu lưu.,Một phần của mẫu cuối cùng dùng để phân tích ở phòng KN. Lượng thuốc trong mẫu phân tích phải đủ để thực hiện tất cả các phép thử theo yêu cầu của tiêu chuẩn chất lượng.,
Mẫu riêng là:,Một lượng thuốc được lấy ra từ một đơn vị lấy mẫu.,Một lượng thuốc được tạo thành bằng cách trộn các mẫu ban đầu với nhau.,Một phần của mẫu chung đủ để tạo mẫu phân tích và mẫu lưu.,Một phần của mẫu cuối cùng dùng để phân tích ở phòng KN. Lượng thuốc trong mẫu phân tích phải đủ để thực hiện tất cả các phép thử theo yêu cầu của tiêu chuẩn chất lượng.,
Mẫu cuối cùng là:,Một lượng thuốc được lấy ra từ một đơn vị lấy mẫu.,Một lượng thuốc được tạo thành bằng cách trộn các mẫu ban đầu với nhau.,Một phần của mẫu chung đủ để tạo mẫu phân tích và mẫu lưu.,Một phần của mẫu cuối cùng dùng để phân tích ở phòng KN. Lượng thuốc trong mẫu phân tích phải đủ để thực hiện tất cả các phép thử theo yêu cầu của tiêu chuẩn chất lượng.,
Mẫu phân tích là:,Một lượng thuốc được lấy ra từ một đơn vị lấy mẫu.,Một lượng thuốc được tạo thành bằng cách trộn các mẫu ban đầu với nhau.,Một phần của mẫu chung đủ để tạo mẫu phân tích và mẫu lưu.,Một phần của mẫu cuối cùng dùng để phân tích ở phòng KN. Lượng thuốc trong mẫu phân tích phải đủ để thực hiện tất cả các phép thử theo yêu cầu của tiêu chuẩn chất lượng.,
Đối với bán thành phẩm: Cốm được lấy mẫu:,Sau khi đã hoàn tất công đoạn pha chế.,"Ở các thời điểm đầu, giữa và cuối lô.","Ở thùng chứa trung gian trước khi vô chai, lọ.",B và C đều sai.,
Đối với bán thành phẩm: Bán thành phẩm được lấy mẫu,"Ở các thời điểm đầu, giữa và cuối lô.",Sau khi đã hoàn tất công đoạn pha chế.,"Ở thùng chứa trung gian trước khi vô chai, lọ.",B và C đều đúng.,
Đối với bán thành phẩm: Thuốc nước được lấy,"Ở thùng chứa trung gian trước khi vô chai, lọ.",Sau khi đã hoàn tất công đoạn pha chế.,"Ở các thời điểm đầu, giữa và cuối lô.",B và C đều đúng,
